unique_id,min_date,max_date,lifetime,n_records,n_zero,% zero,n_consecutive_weeks,ok_zeros,ok_2years,ok_sales_last_2months,time_series
03219502LV,2016-02-29,2019-05-06,166.0,167,101.0,60.5,10,0,1,0,0
03411601,2015-12-14,2023-03-06,377.0,378,2.0,0.5,211,1,1,1,1
03411601AC,2022-02-07,2023-02-27,55.0,56,19.0,33.9,12,0,0,1,0
03411601NM,2020-04-20,2023-02-27,149.0,150,6.0,4.0,91,1,1,1,1
03412102,2018-02-26,2022-12-05,249.0,250,135.0,54.0,20,0,1,0,0
03412401,2015-12-14,2023-02-27,376.0,377,8.0,2.1,210,1,1,1,1
03412402,2016-01-11,2023-02-27,372.0,373,96.0,25.7,32,0,1,1,0
03423101,2018-12-31,2023-02-20,216.0,217,94.0,43.3,13,0,1,1,0
03433603,2017-05-01,2023-02-20,303.0,304,225.0,74.0,9,0,1,1,0
03443101,2018-04-30,2023-02-20,251.0,252,125.0,49.6,10,0,1,1,0
03450101,2015-12-14,2023-02-27,376.0,377,25.0,6.6,55,1,1,1,1
03450102,2015-12-14,2023-02-27,376.0,377,2.0,0.5,222,1,1,1,1
03453420AC,2021-10-18,2023-02-20,70.0,71,15.0,21.1,12,0,0,1,0
03453420BM,2022-11-28,2023-02-27,13.0,14,1.0,7.1,9,1,0,1,0
03453420LM,2022-11-07,2023-02-27,16.0,17,2.0,11.8,9,1,0,1,0
03453420LV,2022-02-28,2023-02-27,52.0,53,5.0,9.4,24,1,0,1,0
03453420NM,2022-08-01,2023-02-27,30.0,31,2.0,6.5,12,1,0,1,0
03453420OM,2021-02-08,2023-02-27,107.0,108,9.0,8.3,31,1,0,1,0
03453420OR,2020-08-24,2023-02-20,130.0,131,8.0,6.1,55,1,1,1,1
03453701,2020-06-08,2022-02-07,87.0,88,36.0,40.9,9,0,0,0,0
03463430AC,2021-01-18,2023-02-27,110.0,111,26.0,23.4,16,0,1,1,0
03463430LM,2021-01-18,2023-02-27,110.0,111,8.0,7.2,56,1,1,1,1
03463430LV,2020-09-14,2023-02-27,128.0,129,19.0,14.7,16,1,1,1,1
03463430NM,2021-06-07,2023-02-27,90.0,91,12.0,13.2,14,1,0,1,0
03463430OM,2021-04-19,2023-03-06,98.0,99,20.0,20.2,13,0,0,1,0
03463430OR,2020-08-10,2022-11-28,120.0,121,45.0,37.2,13,0,1,0,0
03463701,2016-01-04,2023-03-06,374.0,375,8.0,2.1,152,1,1,1,1
03463701AC,2022-10-03,2023-02-20,20.0,21,4.0,19.0,12,1,0,1,0
03463701BM,2023-01-02,2023-02-27,8.0,9,0.0,0.0,9,1,0,1,0
03463701NM,2021-11-22,2023-02-27,66.0,67,4.0,6.0,20,1,0,1,0
03463702,2016-01-04,2023-02-27,373.0,374,7.0,1.9,102,1,1,1,1
03463706,2015-11-30,2023-02-27,378.0,379,0.0,0.0,379,1,1,1,1
03463707,2015-12-14,2023-02-06,373.0,374,3.0,0.8,362,1,1,1,1
03463708,2018-02-19,2023-02-20,261.0,262,96.0,36.6,16,0,1,1,0
03463820LM,2021-11-08,2023-01-30,64.0,65,12.0,18.5,13,1,0,1,0
03463901,2015-12-21,2023-02-27,375.0,376,16.0,4.3,95,1,1,1,1
03474601LM,2021-10-11,2023-03-06,73.0,74,20.0,27.0,14,0,0,1,0
03493199,2017-03-27,2023-02-27,309.0,310,78.0,25.2,15,0,1,1,0
