,id,model,rmse,mae,wape_m
525,06248702,CrostonClassic,2,1.9,86.3
526,06248702,IMAPA,2,1.9,87.7
527,06248702,WindowAverage,2,1.9,91.3
528,06254201,AutoARIMA,3,2.0,35.0
529,06254201,AutoETS,2,1.9,32.6
530,06254201,DynamicOptimizedTheta,3,2.0,32.4
531,06254201,AutoTheta,3,2.0,32.2
532,06254201,ADIDA,3,2.0,32.4
533,06254201,CrostonClassic,3,2.0,32.2
534,06254201,IMAPA,3,2.0,32.4
535,06254201,WindowAverage,3,2.2,41.7
536,06254201OM,AutoARIMA,3,2.4,71.5
537,06254201OM,AutoETS,2,1.9,33.2
538,06254201OM,DynamicOptimizedTheta,2,1.9,30.3
539,06254201OM,AutoTheta,2,1.9,29.7
540,06254201OM,ADIDA,2,1.9,30.4
541,06254201OM,CrostonClassic,2,1.9,29.9
542,06254201OM,IMAPA,2,1.9,30.4
543,06254201OM,WindowAverage,2,1.8,39.8
544,06298001,AutoARIMA,7,5.0,55.7
545,06298001,AutoETS,6,4.8,45.6
546,06298001,DynamicOptimizedTheta,6,4.8,43.8
547,06298001,AutoTheta,6,4.8,41.7
548,06298001,ADIDA,6,4.8,43.2
549,06298001,CrostonClassic,6,4.8,45.2
550,06298001,IMAPA,6,4.8,43.2
551,06298001,WindowAverage,6,4.8,46.6
552,06910302,AutoARIMA,2,1.7,37.1
553,06910302,AutoETS,2,1.6,41.7
554,06910302,DynamicOptimizedTheta,2,1.6,34.9
555,06910302,AutoTheta,2,1.6,35.8
556,06910302,ADIDA,2,1.6,34.9
557,06910302,CrostonClassic,2,1.7,38.1
558,06910302,IMAPA,2,1.6,34.9
559,06910302,WindowAverage,2,1.6,36.7
560,06916702,AutoARIMA,4,2.9,67.8
561,06916702,AutoETS,4,3.1,83.0
562,06916702,DynamicOptimizedTheta,4,3.0,63.6
563,06916702,AutoTheta,4,2.9,57.7
564,06916702,ADIDA,4,3.0,63.6
565,06916702,CrostonClassic,4,3.0,63.8
566,06916702,IMAPA,4,3.0,63.6
567,06916702,WindowAverage,4,2.8,46.3
568,06917002,AutoARIMA,2,1.9,72.9
569,06917002,AutoETS,2,1.9,61.6
570,06917002,DynamicOptimizedTheta,2,1.8,71.4
571,06917002,AutoTheta,2,1.8,69.2
572,06917002,ADIDA,2,1.8,71.4
573,06917002,CrostonClassic,2,1.9,76.6
574,06917002,IMAPA,2,1.8,71.4
575,06917002,WindowAverage,3,1.8,82.4
576,06944001,AutoARIMA,4,3.4,33.0
577,06944001,AutoETS,4,3.1,35.4
578,06944001,DynamicOptimizedTheta,4,3.1,41.1
579,06944001,AutoTheta,4,3.1,42.0
