,id,model,rmse,mae,wape_m
515,117333,mean,4,3.5,145.7
516,117333,random_walk,7,6.4,416.5
517,117333,window_average,4,3.8,202.9
518,117333,auto_arima,4,3.5,140.2
519,117333,prophet,4,3.5,150.8
520,117440,mean,6,5.2,49.5
521,117440,random_walk,7,6.2,61.1
522,117440,window_average,6,4.8,32.0
523,117440,auto_arima,6,4.9,33.0
524,117440,prophet,6,5.2,53.8
525,123100C,mean,10,9.2,17.5
526,123100C,random_walk,13,11.6,31.8
527,123100C,window_average,13,11.3,31.5
528,123100C,auto_arima,10,9.1,15.5
529,123100C,prophet,10,9.2,17.9
530,123100F,mean,24,18.4,26.7
531,123100F,random_walk,29,24.1,30.7
532,123100F,window_average,25,19.3,22.4
533,123100F,auto_arima,23,17.3,22.9
534,123100F,prophet,25,20.8,29.7
535,123103,mean,3,2.7,40.7
536,123103,random_walk,4,2.6,95.2
537,123103,window_average,3,2.5,53.4
538,123103,auto_arima,3,2.6,34.2
539,123103,prophet,3,2.7,39.9
540,123125C,mean,11,9.0,25.4
541,123125C,random_walk,12,10.8,37.2
542,123125C,window_average,10,8.7,19.2
543,123125C,auto_arima,11,9.0,25.7
544,123125C,prophet,11,9.1,25.9
545,123125F,mean,10,8.5,20.0
546,123125F,random_walk,11,8.8,25.0
547,123125F,window_average,10,8.4,20.5
548,123125F,auto_arima,10,8.6,20.5
549,123125F,prophet,10,8.7,19.8
550,123155F,mean,9,6.8,41.4
551,123155F,random_walk,13,10.6,109.6
552,123155F,window_average,10,7.3,51.6
553,123155F,auto_arima,9,6.7,37.1
554,123155F,prophet,9,6.8,42.2
555,123210,mean,3,2.8,24.9
556,123210,random_walk,4,3.6,49.4
557,123210,window_average,4,3.2,38.8
558,123210,auto_arima,4,2.8,24.5
559,123210,prophet,3,2.8,22.7
560,123214,mean,7,6.2,27.4
561,123214,random_walk,8,6.3,39.0
562,123214,window_average,7,6.2,32.5
563,123214,auto_arima,7,6.0,24.8
564,123214,prophet,7,6.1,27.3
565,123215,mean,16,13.4,14.5
566,123215,random_walk,27,23.6,49.1
567,123215,window_average,24,20.3,41.6
568,123215,auto_arima,20,16.9,27.0
569,123215,prophet,17,14.2,15.4
570,123306,mean,11,9.4,28.1
571,123306,random_walk,11,9.1,34.3
572,123306,window_average,12,10.4,33.8
573,123306,auto_arima,11,9.5,27.6
574,123306,prophet,10,8.3,18.3
575,123310,mean,5,4.2,121.1
576,123310,random_walk,9,7.2,142.9
577,123310,window_average,6,4.0,70.0
578,123310,auto_arima,5,4.1,88.8
579,123310,prophet,5,4.2,122.3
580,123314,mean,11,8.5,19.7
581,123314,random_walk,14,11.7,44.1
582,123314,window_average,11,9.3,25.2
583,123314,auto_arima,11,8.7,19.2
584,123314,prophet,10,8.4,19.8
585,123315,mean,13,11.9,16.5
586,123315,random_walk,21,18.5,34.6
587,123315,window_average,18,15.3,33.9
588,123315,auto_arima,15,12.7,21.5
589,123315,prophet,13,11.9,15.5
590,123330,mean,3,2.7,139.0
591,123330,random_walk,3,3.0,71.4
592,123330,window_average,3,2.5,91.2
593,123330,auto_arima,3,2.7,139.0
594,123330,prophet,3,2.8,141.8
595,123416,mean,3,2.6,23.2
596,123416,random_walk,5,4.1,64.2
597,123416,window_average,3,2.8,25.6
598,123416,auto_arima,3,2.6,23.2
599,123416,prophet,3,2.6,23.6
600,123500F,mean,19,15.9,42.4
601,123500F,random_walk,21,19.2,41.5
602,123500F,window_average,21,17.7,37.7
603,123500F,auto_arima,19,16.1,42.5
604,123500F,prophet,19,15.7,42.7
605,123505,mean,8,6.7,23.2
606,123505,random_walk,13,11.2,71.5
607,123505,window_average,8,7.2,22.5
608,123505,auto_arima,8,6.5,25.1
609,123505,prophet,8,6.6,20.7
610,123506,mean,18,15.9,27.8
611,123506,random_walk,27,24.8,50.1
612,123506,window_average,18,15.9,28.6
613,123506,auto_arima,18,15.7,28.7
614,123506,prophet,19,16.6,32.4
615,123515,mean,14,10.4,30.4
616,123515,random_walk,15,12.4,29.0
617,123515,window_average,17,13.4,42.3
618,123515,auto_arima,14,10.9,30.6
619,123515,prophet,14,11.1,33.5
620,123520C,mean,11,8.7,48.8
621,123520C,random_walk,12,9.1,56.8
622,123520C,window_average,13,10.6,66.8
623,123520C,auto_arima,11,8.7,48.8
624,123520C,prophet,12,8.8,50.4
625,123520F,mean,16,13.7,8.7
626,123520F,random_walk,19,15.5,27.0
627,123520F,window_average,21,15.8,33.1
628,123520F,auto_arima,18,14.2,13.9
629,123520F,prophet,17,14.3,14.4
630,130335,mean,13,12.0,18.0
631,130335,random_walk,14,12.1,17.0
632,130335,window_average,13,11.5,10.9
633,130335,auto_arima,13,11.9,15.2
634,130335,prophet,14,12.8,21.6
635,130336,mean,3,2.4,49.1
636,130336,random_walk,4,3.1,76.8
637,130336,window_average,3,2.5,56.3
638,130336,auto_arima,3,2.5,50.1
639,130336,prophet,3,2.4,48.7
